_id,Estatus_solicitud,Sucursal,Empresa,codigo_producto,Broker,FrontEnd,Fecha_inicio_credito,Fecha_dispersion,Tiempo_funnel_segundos_netos,Dias_horas_transcurridos,Tiempo_total_funnel_formato,Tarea_mas_tardada,Tiempo_tarea_mas_tardada_formato
692f5dc314299534bf077155,APPROVED,667,AEF,REVO-ILC,REVO-ILC,TYSON,2025-12-02 15:44:36,2026-02-24 17:37:11,"7,264,355","84 días, 1 horas",84:01:52:35,AXIGESTION,66:07:01:29
693ae6c6bba57b103a503d7b,APPROVED,291,FISA,FORMER,FORMER,TYSON_COA,2025-12-11 9:44:08,2026-03-04 15:40:02,"7,192,554","83 días, 5 horas",83:05:55:54,AXIGESTION,83:05:51:00
693739745ed90e043cacb983,APPROVED,79,FISA,FORMER,FORMER,TYSON,2025-12-08 14:47:50,2026-02-27 14:38:03,"6,997,813","80 días, 23 horas",80:23:50:13,AXIGESTION,80:23:48:38
69385431f7d61e67d6cfa7a0,APPROVED,604,AEF,REVOLVENTE-AEF,REVOLVENTE-AEF,TYSON,2025-12-09 10:54:09,2026-02-27 10:07:01,"6,909,172","79 días, 23 horas",79:23:12:52,AXIGESTION,79:23:06:54
69309c51f7d61e67d6cf8bc2,APPROVED,641,AEF,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-03 14:23:45,2026-02-21 12:53:01,"6,906,556","79 días, 22 horas",79:22:29:16,AXIGESTION,79:22:28:40
692dfec31df7474e0fd3ce3d,APPROVED,551,AEF,FORMALDIGITAL-EXPRESS,UNDEFINED,LANDING,2025-12-01 14:49:29,2026-02-18 17:41:01,"6,835,892","79 días, 2 horas",79:02:51:32,AXIPREAPROBADO,79:02:31:57
694069069a9ac81555e0dda9,APPROVED,265,FISA,REVO-ILC,REVO-ILC,TYSON,2025-12-15 14:01:11,2026-03-03 10:28:02,"6,726,411","77 días, 20 horas",77:20:26:51,AXIGESTION,77:20:26:11
6939c9b2bf1a752c15523d75,APPROVED,112,FISA,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-10 13:27:47,2026-02-23 14:35:03,"6,484,036","75 días, 1 horas",75:01:07:16,AXIGESTION,75:01:05:44
69307636f7d61e67d6cf8a3c,APPROVED,112,FISA,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-03 11:41:12,2026-02-16 10:32:07,"6,475,855","74 días, 22 horas",74:22:50:55,AXIGESTION,74:22:48:15
69404e579a9ac81555e0dc6c,APPROVED,675,AEF,MICRONEGOCIO,CREDIPERSONAL,TYSON,2025-10-04 13:07:37,2025-12-17 10:56:01,"6,385,704","73 días, 21 horas",73:21:48:24,AXICHEQUEPOST,75:23:08:30
694031ac85f269041a37a345,APPROVED,585,AEF,FORMER,FORMER,TYSON_COA,2025-12-15 10:05:02,2026-02-25 14:45:02,"6,237,600","72 días, 4 horas",72:04:40:00,AXIGESTION,72:04:34:53
69372338fd1d702b2f9f60d0,APPROVED,284,FISA,FORMER,FORMER,TYSON,2025-12-08 13:12:59,2026-02-18 16:59:02,"6,234,363","72 días, 3 horas",72:03:46:03,AXIGESTION,72:03:44:32
6931ca0af7d61e67d6cf9088,APPROVED,248,FISA,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-04 11:51:07,2026-02-13 17:37:02,"6,155,155","71 días, 5 horas",71:05:45:55,AXIGESTION,71:05:43:33
69442526fb826e203b2836af,APPROVED,667,AEF,RENO-EXPRESS,RENO - caminantes,TYSON,2025-12-18 10:00:39,2026-02-26 15:35:02,"6,068,063","70 días, 5 horas",70:05:34:23,AXIGESTION,70:05:32:09
6942d410a1b342319ee20154,APPROVED,80,FISA,FORMER,FORMER,TYSON,2025-12-17 10:02:26,2026-02-24 12:48:03,"5,971,537","69 días, 2 horas",69:02:45:37,AXIDYNAMICJOURNEY,69:02:43:29
692f473abba57b103a500ef6,APPROVED,35,FISA,REVO-ILC,REVO-ILC,TYSON_COA,2025-12-02 14:08:27,2026-02-07 17:05:18,"5,799,411","67 días, 2 horas",67:02:56:51,AXIGESTION,67:02:56:17
6941855d9048f12bd6394602,APPROVED,7,FISA,DISPOSICION-REVO,DISPOSICION-REVO,TYSON_COA,2025-12-16 10:14:29,2026-02-21 8:52:19,"5,783,870","66 días, 22 horas",66:22:37:50,AXIGESTION,66:13:44:47
6930788e5ed90e043caca02f,APPROVED,614,AEF,RENO-EXPRESS,RENO - caminantes,TYSON,2025-12-03 11:51:10,2026-02-06 16:03:01,"5,631,111","65 días, 4 horas",65:04:11:51,AXIGESTION,65:03:56:55
693da054f7d61e67d6cfbc1d,APPROVED,614,AEF,RENO-EXPRESS,RENO-EXPRESS,TYSON_COA,2025-12-13 11:20:20,2026-02-13 12:51:05,"5,362,245","62 días, 1 horas",62:01:30:45,AXIGESTION,62:01:29:09
6955bd4719eb9f79d0017bf5,APPROVED,90,FISA,REVO-ILC,REVO-ILC,TYSON,2025-12-31 18:18:15,2026-02-28 11:47:49,"5,074,174","58 días, 17 horas",58:17:29:34,AXIDYNAMICJOURNEY,58:17:28:31
69497826385b6b7e60ee97f7,APPROVED,310,FISA,DISPOSICION-REVO,DISPOSICION-REVO,TYSON,2025-12-22 10:56:14,2026-02-18 12:38:00,"5,017,306","58 días, 1 horas",58:01:41:46,AXIGESTION,58:01:29:13
694f2eede8293b72409d66f4,APPROVED,115,FISA,DISPOSICION-REVO,DISPOSICION-REVO,TYSON_COA,2025-12-26 18:57:23,2026-02-22 5:00:19,"4,960,976","57 días, 10 horas",57:10:02:56,AXIGESTION,57:09:58:25
69385e16bf1a752c1552363e,APPROVED,105,FISA,REVO-ILC,REVO-ILC,TYSON_COA,2025-12-09 11:36:23,2026-02-04 12:21:34,"4,927,511","57 días, 0 horas",57:00:45:11,AXIGESTION,00:00:50:02
6933020eb9db395b99a2f869,APPROVED,590,AEF,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-05 10:02:25,2026-01-30 11:35:02,"4,843,957","56 días, 1 horas",56:01:32:37,AXIDYNAMICJOURNEY,56:01:29:45
692ee714b9db395b99a2e19c,APPROVED,566,AEF,REVO-ILC,REVO-ILC,TYSON,2025-12-02 7:18:13,2026-01-26 17:56:42,"4,790,309","55 días, 10 horas",55:10:38:29,AXIGESTION,55:09:25:17
6939f90dbba57b103a503add,APPROVED,658,AEF,FORMER,FORMER,TYSON_COA,2025-12-10 16:49:50,2026-02-03 17:06:01,"4,752,971","55 días, 0 horas",55:00:16:11,AXIDYNAMICJOURNEY,54:22:02:53
6940705998e6406bb134785c,APPROVED,665,AEF,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-15 14:32:26,2026-02-07 11:14:03,"4,653,697","53 días, 20 horas",53:20:41:37,AXIDYNAMICJOURNEY,53:20:39:41
6949af82a433a52d507eeaeb,APPROVED,17,FISA,REVO-ILC,REVO-ILC,TYSON,2025-12-22 14:52:19,2026-02-13 14:30:56,"4,577,917","52 días, 23 horas",52:23:38:37,AXIGESTION,52:23:36:40
6949d3175f959a4849ee9301,APPROVED,63,FISA,DISPOSICION-REVO,DISPOSICION-REVO,TYSON_COA,2025-12-22 17:24:16,2026-02-13 14:01:40,"4,567,044","52 días, 20 horas",52:20:37:24,AXIGESTION,52:19:38:48
6937501abf1a752c155232e9,APPROVED,264,FISA,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-08 16:24:27,2026-01-30 12:10:03,"4,563,936","52 días, 19 horas",52:19:45:36,AXIGESTION,52:19:44:23
6939da92b9db395b99a31159,APPROVED,595,AEF,RENO-EXPRESS,RENO - caminantes,TYSON_COA,2025-12-10 14:39:46,2026-01-31 13:14:02,"4,487,656","51 días, 22 horas",51:22:34:16,AXIGESTION,51:22:32:45
69441ea83ea79b112d36e21e,APPROVED,257,FISA,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-18 9:32:57,2026-02-07 12:00:02,"4,415,225","51 días, 2 horas",51:02:27:05,AXIDYNAMICJOURNEY,51:02:25:02
6937480bbba57b103a502ed6,APPROVED,23,FISA,FORMALDIGITAL,FORMALDIGITAL,TYSON,2025-12-08 15:50:10,2026-01-28 13:53:02,"4,399,372","50 días, 22 horas",50:22:02:52,AXIGESTION,50:17:57:27
695592452a8c57159b3b7781,APPROVED,112,FISA,REVO-ILC,REVO-ILC,TYSON,2025-12-31 15:14:46,2026-02-19 10:37:42,"4,303,376","49 días, 19 horas",49:19:22:56,AXIGESTION,49:19:21:13
694eca2cb2f08b01bafc3255,APPROVED,11,FISA,REVO-ILC,REVO-ILC,TYSON_COA,2025-12-26 11:47:25,2026-02-13 18:52:09,"4,259,084","49 días, 7 horas",49:07:04:44,AXIDYNAMICJOURNEY,39:02:48:19
69554ecd7a2c8a2781913c87,APPROVED,634,AEF,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-31 10:26:54,2026-02-18 17:16:10,"4,258,156","49 días, 6 horas",49:06:49:16,AXIDYNAMICJOURNEY,49:06:38:10
692f20a3bba57b103a500ba9,APPROVED,656,AEF,RENO-EXPRESS,RENO-EXPRESS,appClientes,2025-12-02 11:23:48,2026-01-20 14:28:02,"4,244,654","49 días, 3 horas",49:03:04:14,AXIGESTION,49:01:38:35
695576622a8c57159b3b7687,APPROVED,9,FISA,RENO-EXPRESS,RENO-EXPRESS,TYSON_COA,2025-12-31 13:15:47,2026-02-18 12:36:09,"4,231,222","48 días, 23 horas",48:23:20:22,AXIGESTION,48:21:37:32
6931d4bffd1d702b2f9f4f2f,APPROVED,634,AEF,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-04 12:36:48,2026-01-21 16:21:01,"4,160,653","48 días, 3 horas",48:03:44:13,AXIGESTION,48:03:43:40
694b0a1f1b68642ae7772b45,APPROVED,605,AEF,FORMER,FORMER,TYSON,2025-12-23 15:31:12,2026-02-09 14:48:03,"4,144,611","47 días, 23 horas",47:23:16:51,AXIGESTION,47:23:12:27
6930b76cfd1d702b2f9f4b0b,APPROVED,18,FISA,REVO-ILC,REVO-ILC,TYSON,2025-12-03 16:19:24,2026-01-19 18:23:25,"4,068,241","47 días, 2 horas",47:02:04:01,AXIGESTION,47:02:03:35
69373800b9db395b99a305b1,APPROVED,645,AEF,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-08 14:41:38,2026-01-23 15:59:37,"3,979,079","46 días, 1 horas",46:01:17:59,AXIGESTION,46:00:53:22
693841089b16a235bf94af44,APPROVED,9,FISA,RENO-EXPRESS,RENO-EXPRESS,TYSON,2025-12-09 9:32:26,2026-01-23 16:55:02,"3,914,556","45 días, 7 horas",45:07:22:36,AXIGESTION,45:06:20:50
69402d4e86ad9e5c6571b1df,APPROVED,23,FISA,RENO-EXPRESS,RENO-EXPRESS,appClientes,2025-12-15 9:46:23,2026-01-29 15:22:02,"3,908,139","45 días, 5 horas",45:05:35:39,AXIGESTION,36:06:21:49
693865c85ed90e043cacbdf9,APPROVED,3,FISA,PENSIONADOS,UNDEFINED,LANDING,2025-12-09 12:14:29,2026-01-23 13:40:01,"3,893,132","45 días, 1 horas",45:01:25:32,VERIEMAIL,45:01:18:38
6938b0329b16a235bf94b2f0,APPROVED,687,AEF,REVO-ILC,REVO-ILC,TYSON,2025-12-09 17:26:42,2026-01-23 17:53:48,"3,889,626","45 días, 0 horas",45:00:27:06,AXIDYNAMICJOURNEY,01:05:30:04
6955bb3b20f7df720afa30c3,APPROVED,554,AEF,FORMER,FORMER,TYSON,2025-12-31 18:09:32,2026-02-13 15:55:01,"3,793,529","43 días, 21 horas",43:21:45:29,AXIGESTION,43:21:43:43
694495bca2fae2107cfb669e,APPROVED,41,FISA,REVO-ILC,REVO-ILC,TYSON,2025-12-18 18:01:01,2026-01-31 11:44:41,"3,779,020","43 días, 17 horas",43:17:43:40,AXIDYNAMICJOURNEY,43:17:42:48
